"ID","YearStart","YearEnd","Who_Region","RegionAbbr","SurveySiteAbbr","SurveySite","DataSource","Country","CountryAbbr","Class","Topic","ShortQuestionText","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"358725","2008","2008","African Region","AFR","ma100","Madagascar - National","GYTS","Madagascar","ma","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","27.2","","","16.5","41.3","229","-18.766947","46.869107","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"361119","2009","2009","African Region","AFR","mi100","Malawi - National","GYTS","Malawi","mi","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","7.5","","","1.9","25.1","47","-13.254308","34.301525","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"358890","2008","2008","African Region","AFR","ml100","Mali - National","GYTS","Mali","ml","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","49.5","","","38.3","60.8","185","17.570692","-3.996166","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"361689","2009","2009","African Region","AFR","mr100","Mauritania - National","GYTS","Mauritania","mr","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","49.4","","","38.4","60.4","182","21.00789","-10.940835","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"358920","2008","2008","African Region","AFR","mp100","Mauritius - National","GYTS","Mauritius","mp","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","51.8","","","42.6","60.8","155","-20.348404","57.552152","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"358419","2008","2008","African Region","AFR","wa100","Namibia - National","GYTS","Namibia","wa","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","28.6","","","22.9","35.0","113","-22.95764","18.49041","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"361725","2009","2009","African Region","AFR","ng100","Niger - National","GYTS","Niger","ng","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","40.0","","","24.2","58.1","37","17.607789","8.081666","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"358537","2008","2008","African Region","AFR","rw100","Rwanda - National","GYTS","Rwanda","rw","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","","~","Insufficient Sample Size.","","","","-1.940278","29.873888","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"361633","2010","2010","African Region","AFR","tp100","Sao Tome and Principe - National","GYTS","Sao Tome and Principe","tp","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","13.8","","","","","87","0.18636","6.613081","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"355904","2007","2007","African Region","AFR","sg100","Senegal - National","GYTS","Senegal","sg","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","37.4","","","24.0","53.2","116","14.497401","-14.452362","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"355942","2007","2007","African Region","AFR","se100","Seychelles - National","GYTS","Seychelles","se","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","28.2","","","22.2","35.2","150","-4.679574","55.491977","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"363004","2011","2011","African Region","AFR","sf100","South Africa - National","GYTS","South Africa","sf","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","52.6","","","43.2","61.8","419","-30.559482","22.937506","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"361761","2009","2009","African Region","AFR","wz100","Swaziland - National","GYTS","Swaziland","wz","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","28.2","","","17.2","42.7","67","-26.522503","31.465866","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"355256","2007","2007","African Region","AFR","to100","Togo - National","GYTS","Togo","to","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","22.1","","","13.7","33.5","98","8.619543","0.824782","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"363040","2011","2011","African Region","AFR","ug100","Uganda - National","GYTS","Uganda","ug","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","22.6","","","11.2","40.2","68","1.373333","32.290275","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"363075","2011","2011","African Region","AFR","za100","Zambia - National","GYTS","Zambia","za","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","22.9","","","","","70","-13.133897","27.849332","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"347145","2002","2002","Eastern Mediterranean Region","EMR","ba100","Bahrain - National","GYTS","Bahrain","ba","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","45.6","","","34.6","57.1","140","26.0667","50.5577","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"361887","2009","2009","Eastern Mediterranean Region","EMR","dj100","Djibouti - National","GYTS","Djibouti","dj","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","25.0","","","17.4","34.5","61","11.825138","42.590275","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"361923","2009","2009","Eastern Mediterranean Region","EMR","eg100","Egypt - National","GYTS","Egypt","eg","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","25.4","","","12.8","44.3","188","26.820553","30.802498","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"356544","2007","2007","Eastern Mediterranean Region","EMR","ir100","Iran, Islamic Republic of - National","GYTS","Iran, Islamic Republic of","ir","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","59.4","","","42.4","74.4","35","38.471943","47.058751","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"361421","2009","2009","Eastern Mediterranean Region","EMR","jo100","Jordan - National","GYTS","Jordan","jo","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","43.4","","","35.7","51.5","145","30.585164","36.238414","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"361457","2009","2009","Eastern Mediterranean Region","EMR","ku100","Kuwait - National","GYTS","Kuwait","ku","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","57.2","","","48.2","65.7","249","29.31166","47.481766","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"363109","2011","2011","Eastern Mediterranean Region","EMR","le100","Lebanon - National","GYTS","Lebanon","le","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","29.5","","","19.3","42.1","163","33.854721","35.862285","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"362725","2010","2010","Eastern Mediterranean Region","EMR","ly100","Libyan Arab Jamahiriya - National","GYTS","Libyan Arab Jamahiriya","ly","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","27.7","","","14.8","45.7","49","26.3351","17.228331","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"362029","2010","2010","Eastern Mediterranean Region","EMR","mo100","Morocco - National","GYTS","Morocco","mo","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","28.6","","","13.8","49.9","57","31.791702","-7.09262","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"362528","2010","2010","Eastern Mediterranean Region","EMR","mu100","Oman - National","GYTS","Oman","mu","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","","~","Insufficient Sample Size.","","","","21.512583","55.923255","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"355973","2007","2007","Eastern Mediterranean Region","EMR","qa100","Qatar - National","GYTS","Qatar","qa","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","29.2","","","16.2","46.9","56","25.354826","51.183884","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"362565","2010","2010","Eastern Mediterranean Region","EMR","sa100","Saudi Arabia - National","GYTS","Saudi Arabia","sa","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","21.1","","","13.6","31.2","146","23.885942","45.079162","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"361494","2009","2009","Eastern Mediterranean Region","EMR","su100","Sudan - National","GYTS","Sudan","su","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","","~","Insufficient Sample Size.","","","","12.862807","30.217636","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"362547","2010","2010","Eastern Mediterranean Region","EMR","sy100","Syrian Arab Republic - National","GYTS","Syrian Arab Republic","sy","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","33.8","","","17.6","55.0","70","34.802075","38.996815","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"362175","2010","2010","Eastern Mediterranean Region","EMR","ts100","Tunisia - National","GYTS","Tunisia","ts","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","40.6","","","25.1","58.2","72","33.886917","9.537499","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"353704","2005","2005","Eastern Mediterranean Region","EMR","ae100","United Arab Emirates - National","GYTS","United Arab Emirates","ae","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","32.3","","","28.1","36.8","743","23.424076","53.847818","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"359789","2008","2008","Eastern Mediterranean Region","EMR","ym100","Yemen - National","GYTS","Yemen","ym","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","","~","Insufficient Sample Size.","","","","15.552727","48.516388","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"361199","2009","2009","European Region","EUR","al100","Albania - National","GYTS","Albania","al","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","58.5","","","52.9","64.0","414","41.153332","20.168331","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"361510","2009","2009","European Region","EUR","am100","Armenia - National","GYTS","Armenia","am","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","61.7","","","52.1","70.4","83","40.069099","45.038189","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"363398","2011","2011","European Region","EUR","aj100","Azerbaijan - National","GYTS","Azerbaijan","aj","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","59.1","","","45.9","71.1","46","40.143105","47.576927","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"351364","2004","2004","European Region","EUR","bo100","Belarus - National","GYTS","Belarus","bo","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","47.0","","","39.9","54.2","884","53.709807","27.953389","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"359823","2008","2008","European Region","EUR","bk100","Bosnia and Herzegovina - National","GYTS","Bosnia and Herzegovina","bk","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","62.6","","","58.3","66.7","849","43.915886","17.679076","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"359859","2008","2008","European Region","EUR","bu100","Bulgaria - National","GYTS","Bulgaria","bu","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","68.6","","","61.5","74.9","797","42.733883","25.48583","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"363435","2011","2011","European Region","EUR","hr100","Croatia (Hrvatska) - National","GYTS","Croatia (Hrvatska)","hr","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","53.2","","","48.2","58.2","798","45.1","15.2","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"366178","2011","2011","European Region","EUR","cy100","Cyprus - National","GYTS","Cyprus","cy","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","46.7","","","","","90","35.126413","33.429859","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"363110","2011","2011","European Region","EUR","ez100","Czech Republic - National","GYTS","Czech Republic","ez","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","47.6","","","40.7","54.6","826","49.817492","15.472962","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"356670","2007","2007","European Region","EUR","en100","Estonia - National","GYTS","Estonia","en","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","30.8","","","25.3","37.0","550","58.595272","25.013607","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"359246","2008","2008","European Region","EUR","gg100","Georgia - National","GYTS","Georgia","gg","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","57.3","","","41.4","71.8","55","32.165622","-82.900075","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"353904","2005","2005","European Region","EUR","gr100","Greece - National","GYTS","Greece","gr","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","49.1","","","43.0","55.3","474","39.074208","21.824312","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"359282","2008","2008","European Region","EUR","hu100","Hungary - National","GYTS","Hungary","hu","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","48.1","","","44.8","51.5","607","47.162494","19.503304","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"362211","2010","2010","European Region","EUR","it100","Italy - National","GYTS","Italy","it","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","48.8","","","41.5","56.1","309","41.87194","12.56738","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"361546","2009","2009","European Region","EUR","kz100","Kazakhstan - National","GYTS","Kazakhstan","kz","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","54.3","","","43.6","64.6","381","48.019573","66.923684","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"351896","2004","2004","European Region","EUR","kv100","Kosovo - National","GYTS","Kosovo","kv","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","31.8","","","22.9","42.2","114","42.602636","20.902977","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"359429","2008","2008","European Region","EUR","kg100","Kyrgyzstan - National","GYTS","Kyrgyzstan","kg","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","58.1","","","46.0","69.4","129","41.20438","74.766098","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"363506","2011","2011","European Region","EUR","lg100","Latvia - National","GYTS","Latvia","lg","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","30.7","","","26.2","35.6","841","56.879635","24.603189","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"361582","2009","2009","European Region","EUR","lh100","Lithuania - National","GYTS","Lithuania","lh","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","34.7","","","28.8","41.0","339","55.169438","23.881275","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"359465","2008","2008","European Region","EUR","mk100","Macedonia, the former Yugoslav Republic of - National","GYTS","Macedonia, the former Yugoslav Republic of","mk","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","65.1","","","57.8","71.7","344","41.225807","21.431659","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"359502","2008","2008","European Region","EUR","md100","Moldova, Republic of - National","GYTS","Moldova, Republic of","md","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","55.5","","","48.9","61.9","357","47.215297","29.463805","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"359892","2008","2008","European Region","EUR","mj100","Montenegro - National","GYTS","Montenegro","mj","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","55.6","","","47.2","63.8","118","42.708678","19.37439","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"349132","2003","2003","European Region","EUR","pl100","Poland - National","GYTS","Poland","pl","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","51.0","","","45.6","56.3","392","51.919438","19.145136","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"361285","2009","2009","European Region","EUR","ro100","Romania - National","GYTS","Romania","ro","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","71.1","","","62.7","78.3","346","45.943161","24.96676","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"352700","2004","2004","European Region","EUR","rs100","Russian Federation - National","GYTS","Russian Federation","rs","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","71.3","","","68.5","73.8","2,420","61.52401","105.318756","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"362797","2010","2010","European Region","EUR","sm100","San Marino - National","GYTS","San Marino","sm","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","36.3","","","32.6","40.3","76","43.94236","12.457777","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
"359927","2008","2008","European Region","EUR","ri100","Serbia - National","GYTS","Serbia","ri","","Access/Availability","Usually Buy their Cigarettes in a Store","Percentage of current smokers who reported they usually got their cigarettes by purchasing them in a store","","%","Prctg","Percentage","76.4","","","66.7","84.0","235","44.016521","21.005859","","T05","Q09","","Gender","GENDER","Total","G9901","","","","","","","","","","","",""
